ra,dec,fov,width,height,hips,output,format
0.0064585607,-0.0925981576,0.2,500,500,SDSS,sdss_1.png,png
0.0077256892,0.7192583212,0.2,500,500,SDSS,sdss_2.png,png
0.0083321957,15.6971800894,0.2,500,500,SDSS,sdss_3.png,png
0.0087450043,15.8817127151,0.2,500,500,SDSS,sdss_4.png,png
0.0123196693,0.7180048356,0.2,500,500,SDSS,sdss_5.png,png
0.0134482038,-1.1130262142,0.2,500,500,SDSS,sdss_6.png,png
0.0138900551,-10.7210641992,0.2,500,500,SDSS,sdss_7.png,png
0.0174280619,-8.7341778245,0.2,500,500,SDSS,sdss_8.png,png
0.0184875821,-0.0833543258,0.2,500,500,SDSS,sdss_9.png,png
0.0191865407,-8.9437710136,0.2,500,500,SDSS,sdss_10.png,png
0.0197541764,0.7817154742,0.2,500,500,SDSS,sdss_11.png,png
0.0230886223,-1.2163740534,0.2,500,500,SDSS,sdss_12.png,png
0.0296928131,0.8579010705,0.2,500,500,SDSS,sdss_13.png,png
0.0325856945,-0.0405799698,0.2,500,500,SDSS,sdss_14.png,png
0.0421551328,0.6342977777,0.2,500,500,SDSS,sdss_15.png,png
0.0514589322,-10.5362980942,0.2,500,500,SDSS,sdss_16.png,png
0.0521894337,3.6387297349,0.2,500,500,SDSS,sdss_17.png,png
0.0532704528,1.1202164409,0.2,500,500,SDSS,sdss_18.png,png
0.054978767,14.5917070637,0.2,500,500,SDSS,sdss_19.png,png
0.0559933548,-1.2136367771,0.2,500,500,SDSS,sdss_20.png,png
0.0573761435,4.4606022374,0.2,500,500,SDSS,sdss_21.png,png
0.0587004788,-10.4794281243,0.2,500,500,SDSS,sdss_22.png,png
0.0602105035,14.2116173688,0.2,500,500,SDSS,sdss_23.png,png
0.0614929527,0.6745449978,0.2,500,500,SDSS,sdss_24.png,png
0.0655448481,-8.8910831939,0.2,500,500,SDSS,sdss_25.png,png
0.0678143857,14.733131611,0.2,500,500,SDSS,sdss_26.png,png
0.0778943555,-0.6518289243,0.2,500,500,SDSS,sdss_27.png,png
0.079310236,-10.8830506375,0.2,500,500,SDSS,sdss_28.png,png
0.0803697854,-9.632006694,0.2,500,500,SDSS,sdss_29.png,png
0.0820701663,-9.6951453726,0.2,500,500,SDSS,sdss_30.png,png
0.0828805411,14.3721009323,0.2,500,500,SDSS,sdss_31.png,png
0.0835969084,13.8337850961,0.2,500,500,SDSS,sdss_32.png,png
0.0843100481,14.1860931314,0.2,500,500,SDSS,sdss_33.png,png
0.085614039,-10.3468981357,0.2,500,500,SDSS,sdss_34.png,png
0.0872304752,0.2150667678,0.2,500,500,SDSS,sdss_35.png,png
0.0940027529,-0.9884602315,0.2,500,500,SDSS,sdss_36.png,png
0.0952010733,16.1478956397,0.2,500,500,SDSS,sdss_37.png,png
0.1144685953,14.9624826226,0.2,500,500,SDSS,sdss_38.png,png
0.1165830927,-0.4481786165,0.2,500,500,SDSS,sdss_39.png,png
0.1169598339,14.3812206569,0.2,500,500,SDSS,sdss_40.png,png
0.1192757992,0.8687213325,0.2,500,500,SDSS,sdss_41.png,png
0.1286587777,-1.2130222059,0.2,500,500,SDSS,sdss_42.png,png
0.1289487001,15.5859326312,0.2,500,500,SDSS,sdss_43.png,png
0.1307125535,-9.4655901867,0.2,500,500,SDSS,sdss_44.png,png
0.1327809232,16.1124089608,0.2,500,500,SDSS,sdss_45.png,png
0.133279894,-10.5561287047,0.2,500,500,SDSS,sdss_46.png,png
0.1349895898,14.5818339174,0.2,500,500,SDSS,sdss_47.png,png
0.1407209861,15.1839023948,0.2,500,500,SDSS,sdss_48.png,png
0.1424996362,14.6192187909,0.2,500,500,SDSS,sdss_49.png,png
0.1571881539,-10.1230740703,0.2,500,500,SDSS,sdss_50.png,png
0.1638272614,-0.0133944892,0.2,500,500,SDSS,sdss_51.png,png
0.1660825789,-11.1577004799,0.2,500,500,SDSS,sdss_52.png,png
0.1664950865,-1.1912341809,0.2,500,500,SDSS,sdss_53.png,png
0.1668310048,14.5521508548,0.2,500,500,SDSS,sdss_54.png,png
0.1682922957,-9.6728304764,0.2,500,500,SDSS,sdss_55.png,png
0.1756373457,0.0266268514,0.2,500,500,SDSS,sdss_56.png,png
0.1756873433,14.5064177375,0.2,500,500,SDSS,sdss_57.png,png
0.1822049264,-10.4226392077,0.2,500,500,SDSS,sdss_58.png,png
0.1839547052,0.6730020239,0.2,500,500,SDSS,sdss_59.png,png
0.1856100533,-8.726014579,0.2,500,500,SDSS,sdss_60.png,png
0.1866238443,-10.4058020291,0.2,500,500,SDSS,sdss_61.png,png
0.189995963,14.0746632606,0.2,500,500,SDSS,sdss_62.png,png
0.1961653018,14.3129321062,0.2,500,500,SDSS,sdss_63.png,png
0.1963498987,-10.8025041316,0.2,500,500,SDSS,sdss_64.png,png
0.1995353933,14.2775367022,0.2,500,500,SDSS,sdss_65.png,png
0.2023386211,14.5524291416,0.2,500,500,SDSS,sdss_66.png,png
0.2121434959,14.2361986974,0.2,500,500,SDSS,sdss_67.png,png
0.2129628453,14.2519400412,0.2,500,500,SDSS,sdss_68.png,png
0.2141856846,15.2508268479,0.2,500,500,SDSS,sdss_69.png,png
0.2170293981,-10.5869334067,0.2,500,500,SDSS,sdss_70.png,png
0.2175451027,-8.7444199593,0.2,500,500,SDSS,sdss_71.png,png
0.2204651488,14.4135279215,0.2,500,500,SDSS,sdss_72.png,png
0.222970147,-1.1152856006,0.2,500,500,SDSS,sdss_73.png,png
0.2243598589,13.8373136726,0.2,500,500,SDSS,sdss_74.png,png
0.2256395834,4.1868062626,0.2,500,500,SDSS,sdss_75.png,png
0.2269325687,2.9848551178,0.2,500,500,SDSS,sdss_76.png,png
0.2281262977,15.2187272017,0.2,500,500,SDSS,sdss_77.png,png
0.2320627367,14.0184297553,0.2,500,500,SDSS,sdss_78.png,png
0.2355416851,0.7627937866,0.2,500,500,SDSS,sdss_79.png,png
0.2398566241,15.278256349,0.2,500,500,SDSS,sdss_80.png,png
0.2410057168,14.1904168046,0.2,500,500,SDSS,sdss_81.png,png
0.2443039226,14.5446266841,0.2,500,500,SDSS,sdss_82.png,png
0.2568301077,14.8546445285,0.2,500,500,SDSS,sdss_83.png,png
0.2612992972,-0.2571302852,0.2,500,500,SDSS,sdss_84.png,png
0.2626977364,1.2680643241,0.2,500,500,SDSS,sdss_85.png,png
0.2649886062,14.5801851057,0.2,500,500,SDSS,sdss_86.png,png
0.2681060443,-9.6792465418,0.2,500,500,SDSS,sdss_87.png,png
0.2703940819,-9.1543321562,0.2,500,500,SDSS,sdss_88.png,png
0.2765641449,-10.4002625119,0.2,500,500,SDSS,sdss_89.png,png
0.2770198088,1.0660708381,0.2,500,500,SDSS,sdss_90.png,png
0.2813321144,1.2419513581,0.2,500,500,SDSS,sdss_91.png,png
0.2862098998,13.8571342853,0.2,500,500,SDSS,sdss_92.png,png
0.2876413071,14.5917625277,0.2,500,500,SDSS,sdss_93.png,png
0.2883163581,1.069297556,0.2,500,500,SDSS,sdss_94.png,png
0.2892274026,0.0844827409,0.2,500,500,SDSS,sdss_95.png,png
0.2905138488,-10.5430211497,0.2,500,500,SDSS,sdss_96.png,png
0.2999864661,15.4784273804,0.2,500,500,SDSS,sdss_97.png,png
0.3060393989,-0.9929496822,0.2,500,500,SDSS,sdss_98.png,png
0.3099710827,15.117151646,0.2,500,500,SDSS,sdss_99.png,png
0.3132044393,14.0023607068,0.2,500,500,SDSS,sdss_100.png,png
0.3150777502,14.6666655107,0.2,500,500,SDSS,sdss_101.png,png
0.3208954795,-1.0328643807,0.2,500,500,SDSS,sdss_102.png,png
0.3251785293,-10.426143246,0.2,500,500,SDSS,sdss_103.png,png
0.3489108264,-0.8519340343,0.2,500,500,SDSS,sdss_104.png,png
0.3514011814,0.7303920927,0.2,500,500,SDSS,sdss_105.png,png
0.358171925,13.8075934872,0.2,500,500,SDSS,sdss_106.png,png
0.3588053162,14.0014055393,0.2,500,500,SDSS,sdss_107.png,png
0.3638658029,14.190809423,0.2,500,500,SDSS,sdss_108.png,png
